[Arquivo Climatico DOMUS][Curitiba -TRY,Brasil][Pressao Atmosferica=91.24 KPa]
[GMT=-3 h,Lat=-25.52 graus,Long=-49.18 graus][Altitude=910.0 m][8760 Registros]
[Temp	Umi	QDir	QDif	VV	DV	Mes	Dia	Hora]
1.0	1.00	0.0	20.0	0.9	0.00	0	0	0
0.0	0.00	1.0	1.0	1.0	1.00	20	0	0
0.0	0.83	0.0	0.0	0.0	3.00	1	1	2
20.0	0.89	0.0	0.0	0.0	5.00	1	1	3
20.0	0.89	0.0	0.0	30.0	1.00	1	1	4
20.0	0.89	0.0	0.0	30.0	3.00	1	1	5
20.0	0.89	0.0	0.0	30.0	5.00	1	1	6
20.0	0.94	0.0	19.0	60.0	1.00	1	1	7
20.0	0.94	16.0	89.0	60.0	3.00	1	1	8
20.0	0.94	6.0	131.0	60.0	5.00	1	1	9
20.0	0.94	55.0	229.0	90.0	1.00	1	1	10
20.0	0.84	318.0	487.0	90.0	3.00	1	1	11
20.0	0.74	191.0	588.0	90.0	5.00	1	1	12
20.0	0.74	543.0	320.0	120.0	1.00	1	1	13
20.0	0.74	439.0	387.0	120.0	3.00	1	1	14
20.0	0.74	842.0	162.0	120.0	5.00	1	1	15
20.0	0.79	729.0	231.0	150.0	1.00	1	1	16
20.0	0.84	588.0	155.0	150.0	3.00	1	1	17
20.0	0.84	495.0	132.0	150.0	5.00	1	1	18
20.0	0.84	82.0	112.0	180.0	1.00	1	1	19
20.0	0.79	2.0	7.0	180.0	3.00	1	1	20
20.0	0.94	0.0	0.0	180.0	5.00	1	1	21
20.0	0.94	0.0	0.0	210.0	1.00	1	1	22
20.0	0.94	0.0	0.0	210.0	3.00	1	1	23
20.0	0.94	0.0	0.0	210.0	5.00	1	2	0
20.0	0.94	0.0	0.0	240.0	1.00	1	2	1
20.0	0.94	0.0	0.0	240.0	3.00	1	2	2
20.0	0.94	0.0	0.0	240.0	5.00	1	2	3
20.0	0.94	0.0	0.0	270.0	1.00	1	2	4
20.0	0.94	0.0	0.0	270.0	3.00	1	2	5
20.0	0.94	0.0	0.0	270.0	5.00	1	2	6
20.0	0.89	132.0	18.0	300.0	1.00	1	2	7
20.0	0.86	273.0	97.0	300.0	3.00	1	2	8
20.0	0.83	166.0	148.0	300.0	5.00	1	2	9
20.0	0.83	217.0	176.0	330.0	1.00	1	2	10
20.0	0.83	447.0	195.0	330.0	3.00	1	2	11
20.0	0.79	524.0	372.0	330.0	5.00	1	2	12
20.0	0.74	565.0	417.0	180.0	3.40	1	2	13
20.0	0.72	472.0	446.0	180.0	4.30	1	2	14
20.0	0.70	107.0	152.0	180.0	5.10	1	2	15
20.0	0.74	407.0	340.0	180.0	5.10	1	2	16
20.0	0.74	693.0	174.0	180.0	4.10	1	2	17
20.0	0.74	336.0	100.0	70.0	4.10	1	2	18
20.0	0.79	51.0	89.0	170.0	4.10	1	2	19
20.0	0.79	7.0	13.0	120.0	2.60	1	2	20
20.0	0.78	0.0	0.0	140.0	2.60	1	2	21
20.0	0.78	0.0	0.0	140.0	1.30	1	2	22
20.0	0.78	0.0	0.0	0.0	0.00	1	2	23
20.0	0.83	0.0	0.0	0.0	0.00	1	3	0
20.0	0.83	0.0	0.0	0.0	0.00	1	3	1
24.0	0.83	0.0	0.0	0.0	0.00	1	3	2
24.0	0.83	0.0	0.0	0.0	0.00	1	3	3
24.0	0.83	0.0	0.0	0.0	0.00	1	3	4
24.0	0.83	0.0	0.0	150.0	2.10	1	3	5
23.0	0.89	0.0	0.0	150.0	3.60	1	3	6
24.0	0.83	2.0	21.0	170.0	2.10	1	3	7
24.0	0.83	13.0	133.0	160.0	2.60	1	3	8
25.0	0.78	130.0	172.0	120.0	1.50	1	3	9
26.0	0.74	55.0	275.0	150.0	2.10	1	3	10
27.0	0.66	2.0	141.0	160.0	5.10	1	3	11
26.0	0.74	0.0	246.0	70.0	5.10	1	3	12
27.0	0.70	654.0	341.0	170.0	7.70	1	3	13
27.0	0.70	228.0	358.0	160.0	6.20	1	3	14
27.0	0.70	30.0	573.0	170.0	6.20	1	3	15
27.0	0.74	79.0	411.0	180.0	7.20	1	3	16
27.0	0.70	271.0	156.0	180.0	6.20	1	3	17
26.0	0.79	102.0	174.0	160.0	3.10	1	3	18
26.0	0.74	134.0	90.0	160.0	2.60	1	3	19
26.0	0.74	13.0	16.0	150.0	3.10	1	3	20
26.0	0.79	0.0	0.0	70.0	3.10	1	3	21
25.0	0.81	0.0	0.0	70.0	2.80	1	3	22
24.0	0.83	0.0	0.0	180.0	2.60	1	3	23
25.0	0.74	0.0	0.0	160.0	2.60	1	4	0
25.0	0.78	0.0	0.0	150.0	2.60	1	4	1
25.0	0.78	0.0	0.0	150.0	1.50	1	4	2
24.0	0.83	0.0	0.0	0.0	0.00	1	4	3
24.0	0.83	0.0	0.0	150.0	1.50	1	4	4
24.0	0.83	0.0	0.0	0.0	0.00	1	4	5
24.0	0.83	0.0	0.0	0.0	0.00	1	4	6
24.0	0.83	125.0	18.0	0.0	0.00	1	4	7
24.5	0.81	220.0	112.0	0.0	0.00	1	4	8
25.0	0.78	45.0	134.0	0.0	0.00	1	4	9
25.0	0.78	58.0	200.0	0.0	0.00	1	4	10
25.5	0.76	114.0	436.0	0.0	2.00	1	4	11
26.0	0.74	115.0	461.0	140.0	4.10	1	4	12
26.0	0.79	698.0	341.0	140.0	5.10	1	4	13
27.0	0.70	4.0	210.0	140.0	4.10	1	4	14
28.0	0.66	258.0	436.0	120.0	2.10	1	4	15
28.0	0.66	110.0	453.0	160.0	6.20	1	4	16
27.0	0.70	84.0	251.0	150.0	4.10	1	4	17
27.0	0.66	49.0	188.0	160.0	2.10	1	4	18
26.5	0.68	17.0	80.0	160.0	1.50	1	4	19
26.0	0.70	0.0	14.0	180.0	1.00	1	4	20
26.0	0.70	0.0	0.0	140.0	1.50	1	4	21
25.5	0.72	0.0	0.0	140.0	0.70	1	4	22
25.0	0.74	0.0	0.0	0.0	0.00	1	4	23
24.0	0.78	0.0	0.0	110.0	2.60	1	5	0
24.0	0.78	0.0	0.0	0.0	0.00	1	5	1
24.0	0.78	0.0	0.0	30.0	2.10	1	5	2
24.0	0.78	0.0	0.0	120.0	2.10	1	5	3
24.0	0.83	0.0	0.0	110.0	2.60	1	5	4
23.0	0.83	0.0	0.0	110.0	1.50	1	5	5
23.0	0.83	0.0	0.0	0.0	0.00	1	5	6
24.0	0.83	81.0	19.0	30.0	2.10	1	5	7
25.0	0.78	114.0	95.0	40.0	2.60	1	5	8
26.0	0.74	649.0	102.0	30.0	1.50	1	5	9
27.0	0.70	740.0	149.0	360.0	1.50	1	5	10
28.0	0.66	732.0	194.0	150.0	1.50	1	5	11
28.0	0.66	756.0	220.0	160.0	1.50	1	5	12
29.0	0.66	844.0	158.0	180.0	2.60	1	5	13
29.0	0.70	860.0	172.0	180.0	2.60	1	5	14
29.5	0.68	802.0	181.0	180.0	3.80	1	5	15
30.0	0.66	677.0	197.0	30.0	5.10	1	5	16
28.0	0.70	804.0	129.0	210.0	4.10	1	5	17
28.0	0.70	479.0	197.0	210.0	4.10	1	5	18
27.0	0.79	340.0	64.0	210.0	4.10	1	5	19
27.0	0.79	46.0	16.0	180.0	2.60	1	5	20
26.0	0.79	0.0	0.0	180.0	1.70	1	5	21
26.0	0.79	0.0	0.0	180.0	0.90	1	5	22
26.0	0.79	0.0	0.0	0.0	0.00	1	5	23
25.0	0.83	0.0	0.0	0.0	0.00	1	6	0
