[Cidades Classificadas Conforme Zona Bioclimática][Num_Reg = 331]
[Estado	Cidade	Metodo	Zona]
AC	[Cruzeiro do Sul]	FJK	8
AC	[Rio Branco]	FIJK	8
AC	[Tarauacá]	FJK	8
AL	[Água Branca]	CFI	5
AL	[Anadia]	FIJ	8
AL	[Coruripe]	FIJ	8
AL	[Maceió]	FI	8
AL	[Palmeira dos Índios]	FIJ	8
AL	[Pão de Açucar]	FIJK	8
AL	[Pilar]	FIJ	8
AL	[Porto de Pedras]	FIJ	8
AM	[Barcelos]	FJK	8
AM	[Coari]	FJK	8
AM	[Fonte Boa]	FJK	8
AM	[Humaitá]	FIJK	8
AM	[Iaurete]	FJK	8
AM	[Itacoatiara]	FJK	8
AM	[Manaus]	FJK	8
AM	[Parintins]	JK	8
AM	[Taracua]	FJK	8
AM	[Tefé]	FJK	8
AM	[Uaupes]	FJK	8
AP	[Macapá]	FJK	8
BA	[Alagoinhas]	FIJ	8
BA	[Barra do Rio Grande]	CDFHI	6
BA	[Barreiras]	DFHIJ	7
BA	[Bom Jesus da Lapa]	CDFHI	6
BA	[Caetité]	CDFI	6
BA	[Camaçari]	FIJ	8
BA	[Canavieiras]	FIJ	8
BA	[Caravelas]	FIJ	8
BA	[Carinhanha]	CDFHI	6
BA	[Cipó]	FIJK	8
BA	[Correntina]	CFHIJ	6
BA	[Guaratinga]	FIJ	8
BA	[Ibipetuba]	CFHIJ	6
BA	[Ilhéus]	FIJ	8
BA	[Irecê]	CDFHI	6
BA	[Itaberaba]	FI	8
BA	[Itiruçu]	CFI	5
BA	[Ituaçu]	CDFHI	6
BA	[Jacobina]	FI	8
BA	[Lençóis]	FIJ	8
BA	[Monte Santo]	CFHI	6
BA	[Morro do Chapéu]	CFI	5
BA	[Paratinga]	FHIJK	7
BA	[Paulo Afonso]	FHIJK	7
BA	[Remanso]	DFHI	7
BA	[Salvador (Ondina)]	FIJ	8
BA	[Santa Rita de Cássia]	CFHIJ	6
BA	[São Francisco Conde]	FIJ	8
BA	[São Gonçalo dos Campos]	FIJ	8
BA	[Senhor do Bonfim]	FHI	7
BA	[Serrinha]	FIJ	8
BA	[Vitória da Conquista]	CFI	5
CE	[Barbalha]	DFHIJ	7
CE	[Campos Sales]	DFHIJ	7
CE	[Crateús]	DFHIJ	7
CE	[Fortaleza]	FIJ	8
CE	[Guaramiranga]	CFI	5
CE	[Iguatu]	DFHIJ	7
CE	[Jaguaruana]	FIJK	8
CE	[Mondibim]	FIJ	8
CE	[Morada Nova]	FHIJK	7
CE	[Quixadá]	FHIJK	7
CE	[Quixeramobim]	FHIJK	7
CE	[Sobral]	FHIJK	7
CE	[Tauá]	DFHIJ	7
DF	[Brasília]	BCDFI	4
ES	[Cachoeiro de Itapemirim]	FIJK	8
ES	[Conceição da Barra]	FIJ	8
ES	[Linhares]	FIJ	8
ES	[São Mateus]	FIJ	8
ES	[Vitória]	FIJ	8
GO	[Aragarças]	CFHIJ	6
GO	[Catalão]	CDFHI	6
GO	[Formosa]	CDFHI	6
GO	[Goiânia]	CDFHI	6
GO	[Goiás]	FHIJ	7
GO	[Ipamerí]	BCDFI	4
