[Tipos de Ambiente = 30]

[Nome	K_limite	DPI_A	DPI_B	DPI_C	DPI_D	RCR]
[Academia]	0	9.5	10.9	12.4	13.8	0.0
[Armazém]	0	7.1	8.2	9.2	10.3	0.0
[Biblioteca]	0	12.7	14.6	16.5	18.4	0.0
[Bombeiros]	0	7.6	8.7	9.9	11.0	0.0
[Centro de Convenções]	0	11.6	13.3	15.1	16.8	0.0
[Cinema]	0	8.9	10.2	11.6	12.9	0.0
[Comércio]	0	15.1	17.4	19.6	21.9	0.0
[Correios]	0	9.4	10.8	12.2	13.6	0.0
[Edifício de Veículos]	0	8.8	10.1	11.4	12.8	0.0
[Escola/Universidade]	0	10.7	12.3	13.9	15.5	0.0
[Escritório]	0	9.7	11.2	12.6	14.1	0.0
[Estádio de esportes]	0	8.4	9.7	10.9	12.2	0.0
[Garagem - Edifício Garagem]	0	2.7	3.1	3.5	3.9	0.0
[Ginásio]	0	10.8	12.4	14.0	15.7	0.0
[Hospedagem. dormitório]	0	6.6	7.6	8.6	9.6	0.0
[Hospital]	0	13.0	15.0	16.9	18.9	0.0
[Hotel]	0	10.8	12.4	14.0	15.7	0.0
[Igreja/Templo]	0	11.3	13.0	14.7	16.4	0.0
[Restaurante]	0	9.6	11.0	12.5	13.9	0.0
[Restaurante: bar/lazer]	0	10.7	12.3	13.9	15.5	0.0
[Restaurante: lanchonete/fast-food]	0	9.7	11.2	12.6	14.1	0.0
[Museu]	0	11.4	13.1	14.8	16.5	0.0
[Oficina]	0	12.9	14.8	16.8	18.7	0.0
[Penitenciária]	0	10.4	12.0	13.5	15.1	0.0
[Posto de Saúde/Clínica]	0	9.4	10.8	12.2	13.6	0.0
[Posto Policial]	0	10.3	11.8	13.4	14.9	0.0
[Prefeitura - Institução Governamental]	0	9.9	11.4	12.9	14.4	0.0
[Teatro]	0	15.0	17.3	19.5	21.8	0.0
[Transportes]	0	8.3	9.5	10.8	12.0	0.0
[Tribunal]	0	11.3	13.0	14.7	16.4	0.0
