100
DOMUS#EMPTY N N
External#temperature(or#adjacent#zone)(oC) I W
Zone#internal#temperature(oC) I W
External#surface#temperature(oC) I W
Internal#surface#temperature(oC) I W
External#humidity(or#adjacent#zone)(%) I W
Zone#internal#humidity(kg/kg) I W
Sky#temperature(oC) I G
External#convention#coefficient(W/m2K) I W
Internal#convention#coefficient(W/m2K) I W
Ground#reflectance I G
Sun#altitude(m) I G
External#absorptivity I W
External#emissivity I W
Time#step(seconds) I G
Material#density I W
Material#specific#heat I W
Material#thermal#conductivity I W
Material#length(mm) I W
Wall#external#direct#incident#radiation(W/m2) I W
Wall#external#diffuse#incident#radiation(W/m2) I W
Wall#external#reflected#incident#radiation(W/m2) I W
Wall#internal#direct#incident#radiation(W/m2) I W
Wall#internal#diffuse#incident#radiation(W/m2) I W
Wall#internal#diffuse#reflected#incident#radiation(W/m2) I W
Wall#internal#reflected#incident#radiation(W/m2) I W
Internal#total#heat(W) I W
Direct#solar#radiation(weather#file)(W/m2) I G
Diffuse#solar#radiation(weather#file)(W/m2) I G
Current#Elapsed#Time(seconds) I G
Total#Simulation#Time(seconds) I G
Actual#Day#in#Domus#Simulation I G
Actual#Month#in#Domus#Simulation I G
Actual#Hour#in#Domus#Simulation I G
Actual#Seconds#in#Domus#Simulation I G
Face#Area(m) I W
Wall#external#insolation I W
Wall#external#sunny#area(%) I W
Wall#internal#insolation I W
Wall#internal#sunny#area(%) I W
Pre-Simulation#Indicator(bool) I G
Total#Wall#External#Incident#Radiation(W/m2) I W
Ground#temperature#by#face(oC) I W
Reference#to#external#surface I W
Reference#to#internal#surface I W
Weather#wind#speed(m/s) I G
Weather#wind#direction(deg) I G
Weather#atmospheric#pressure(Pa) I G
Zone#forced#ventilation#airflow(m3/s) I G
Zone#total#heat#rejection I G
Zone#HVAC#heat#rejection I G
Direct#transmitted#radiation(W/m2) I W
Diffuse#transmitted#radiation(W/m2) I W
Reflected#transmitted#radiation(W/m2) I W
Zone#heating#demand(KWh) I G
Zone#cooling#demand(KWh) I G
Zone#accumulated#heating#demand(KWh) I G
Zone#accumulated#cooling#demand(KWh) I G
Photovoltaic#energy#generation(KWh) I G
PV#generation#with#cooling#energy#consumption I G
Custom#Variable:#Zone#Pollutants#1 I G
Custom#Variable:#Zone#Pollutants#2 I G
Custom#Variable:#Zone#Pollutants#3 I G
Optimization:#Parameter#cost#function I O
Optimization:#List#of#initial#samples I O
Optimization:#List#of#objective#1#samples I O
Optimization:#List#of#objective#2#samples I O
Optimization:#List#of#objective#3#samples I O
Wall#temperature(node)(oC) O W
Wall#humidity(node) O W
Boundary#condition#external#temperature(oC)	O W
Boundary#condition#internal#temperature(oC)	O W
Boundary#condition#vapor#pressur#external O W
Boundary#condition#vapor#pressure#internal O W
Boundary#condition#heat#flow#external O W
Boundary#condition#heat#flow#internal O W
External#convention#coefficient(W/m2K) O W
Internal#convention#coefficient(W/m2K) O W
External#longwave#radiation(W/m2) O W
Internal#longwave#radiation(W/m2) O W
Internal#air#temperature#close#to#AC(oC) O A
Internal#air#humidity#close#to#AC O A
External#air#temperature#close#to#AC(oC) O A
External#air#humidity#close#to#AC O A
External#natual#ventilation#airflow(m3/s) O W
Zone#forced#ventilation#airflow(kg/s) O W
Zone#Infiltration(m3/s) O W
Inter#Zone#Flow#Path(m3/s) O W
Zone#vapor#generation(kg/s) O W
Zone#vapor#generation#temperature(oC) O W
Sky#temperature(oC) O G
Wall#external#diffuse#incident#radiation(W/m2) O W
Wall#internal#diffuse#incident#radiation(W/m2) O W
Custom#Variable:#Zone#Pollutants#1 O G
Custom#Variable:#Zone#Pollutants#2 O G
Custom#Variable:#Zone#Pollutants#3 O G
Optimization:#Wall#layer#thickness(position#1:N)#(mm) O O
Optimization:#Mechanical#Ventilation#(m3/h) O O
Optimization:#Number#of#solar#panels O O
Optimization:#List#of#initial#samples O O
Optimization:#Optimized#parameters O O
Optimization:#Optimized#objective O O
